Negative Sentiment,Ratings
Avoid this chunk of crap by all means necessary.,1
"Dagger' is closer in acting, production and story-telling to NTA soap operas from the early nineties (think 'Fortunes' or 'Ripples') than it is to what we have come to expect from Nollywood of 2017 in cinema. Amidst shabby production and wobbly acting, 'Dagger' tells an unoriginal story in an unoriginal way, complete with unoriginal twists and turns, so much so it ends up feeling jumbled, broken and antiquated.",1
"To stand any chance of eking out the slightest fun from this, you would have to see it for free, at a time when you have absolutely nothing else in the world to do- Like in the rare case that just when your home goes out of electricity, a friend insistently offers you a cinema treat and you have seen 'The Bridge', 'Potato Potahto', 'A Bad Moms Christmas' and even 'Daddy's Home 2'. In the absence of such a perfect storm, avoid stabbing your wallet in the heart with this 'Dagger'.

Definitely not recommended",1
"One of the most painful movie-going experiences is sitting through over an hour long of a 'comedy movie' and not laugh once; that's what ""Boss of all Bosses"" offers.
",1
"In the first 20 minutes of this film, with Olamide's 'Ghetto Bred' soundtrack playing in the background, you would find yourself trying to figure out if you're watching a bad music video or a bad film. Afterwards, you spend the remainder of the film trying to figure out what it's even about. And at the end, you're just so sad for wasting your time.

No one deserves to see ""Ghetto Bred,"" at least, not with their hard-earned money.",1
"Honestly, these people bamboozled us. After “Living in Bondage“, we expected everything to be a hit back to back and Nneka just reminded us to curb our enthusiasm.",1
"The first major problem with this movie would have to be our lead actor, Idia Aisien who plays Nneka. Nneka is supposed to be a character that is fluent in Igbo, however, Idia’s grasp of the language is surprisingly worse than her Yoruba co-actress (Bimbo Ademoye). But if the struggle ended with the inability to speak a language that would be one thing. The other thing is actual performance. Idia never really gets to a point where you are convinced that she is the character. She is constantly ‘becoming’ or ‘attempting to be’ the character.
",1
Nollywood as its worst,1
"add horrible ADR, and average to really bad acting, and you have —- a nightmare. It really makes me question why there was so much controversy around the script, and how it got shortlisted on the chosen 8 for TIFF… oh well.",1
"This was a No, No! Really bad performances from the main cast. Forgettable and doing very little to make the story worthwhile. Well except one person… who ends up on my best list!",1
" this movie is so lame, even children will not like it.",1
"it is a good for nothing film that shouldn't have been made. Pretending to be horror, a thriller, a comedy or just another fun flick, it tries to play in multiple categories but fails woefully in all",1
This is indeed a very stupid movie.,1
this is an extremely boring and terrible film,1
you do not deserve to watch this horrible subpar movie,1
I hate that iwasted my time watching this movie,1
"this movie has to be the most depressing romantic comedy we have ever seen. So depressing, we heard only one whiff of laughter throughout its screening. That is less than 10 seconds of laughter in approximately 103 minutes of run time.",1
this film promised so much but turned out to be gut wrenching ridiculous. Rubbish!!,1
"This one had potential. It really did. But I just cannot forgive that second half and climax. No I will not! Please Nigerian filmmakers, not everything has to be funny. I beg you.

Do not always succumb to that small voice that says your audience must laugh. Because, we kinda know when you are trying really hard to make us laugh. This is the case with Tatu. Well, it also doesn’t help that some characters seemed bi-polar and Sambasa’s frothing mouth didn’t add any substance to his character. Finally, why did he have to speak? That was such a let-down guys, such a let-down!
",1
 I was expecting more than it delivered. ,1
"With an unfocused script, bland acting and dialogue that is mostly unintelligible, ""Midnight Crew"" is nowhere near as funny or watchable as the producers probably think it is.",1
"Sergeant Tutu decides to investigate a crime with the help of his superior and crooked boss, Inspector Sam.

After being subjected to this saddening experience, you will be speechless. Not by the film's good use of humour, performances, fights and chases, but by how bad it is, and then you wonder: Why does this film even exist in the cinema? Why would someone pay so much for this?",1
"The movie’s opening is jarring. There is no backstory for Laila’s appearance, and we still don’t know her story till the movie concludes. The movie is a jumble of scenes with absolutely no connection. Even skits have better plots and storylines. The actors look amused, more like they are in on some inside joke they are playing on the viewers. You keep hoping it gets better; instead it gets progressively worse.",1
Watching this movie made me dull,1
"This movie is too typical, too stale, too local & too dumb to be exhibited at a premium. ",1
terrible,2
"Imagine trying to make indomie without spice

This movie is soo bad that 5 minutes to the end you're still wondering what's going o. Same old Ebonylife narrative of using a big party scene and star cast to sell am movie",2
"Complete waste of 2hours

Not what I expected, and the movie is filled with utter annoying and dry humour.",2
"OVER-RATED, NO DIRECTION!!

To be honest, Chief Daddy was really disappointing. Star studded but yet not much you can lay hold of. I think the directing should bear most of the fault from this train wreck alongside the incoherent writing. The cinematography also, as there were moments when an unneccessary camera shake dented the believability of the scene even more than the forced humour. On the good side, Falz did quite well with the role he was given. The end credits song was quite hilarious. To the producers, please this should mark the end of this destinationless franchise.",2
"Wasted potential

Great camera work, costuming, and undeniable musical talent are wasted in this scatter-brained mess. The opening scenes of promise a story of growth and personal development that the film unequivocally fails to deliver. Lara, the spoiled rotten heiress and 'heroine', is the same entitled brat at the end as she was in the beginning. No lessons learned, no values to appreciate, just unadulterated materialism and selfishness. Not only that, but myriad plot points are picked up and then dropped at will with no rhyme or reason. As soon as the final credits started rolling, I left the theater in disgusted disappointment.",2
"Overhyped Uninteresting Movie

I actually checked the profiles of those who reviewed this film and gave it a 10/10. Those guys are new and probably created the accounts to hype on this film. As for those who rated high just wanted to support the Nigerian movie industry, you are not doing it any good by supporting movies like this. When you support poor quality movies, you encourage mediocrity and the local industry won't just grow. The story though uninteresting is quite very disjointed. At a point, you will be wondering if it is supposed to be a comedy. The character development is quite poor as viewers may be irritated with some. Unnecessary scenes and below par acting by some characters. The only good thing here is the good cameras and picture quality the production came out with.",2
"Holy one of Israel!

What did Genevieve think she just did? A movie? And Netflix bought this? In the midst of Wedding Party? October 1? This is corruption in the highest. The writers are quack. And where were the script doctors? Genevieve needs to bag a diploma in Directing like Stephanie. This was all a joke she served.",2
"PLOT IS ALMOST EMPTY.

First of all, I praise Genevieve for the casting and audio-visual quality of the movie. Though I still feel like the talents of these great actors were wasted. The movie is short. The story is basic. The story is bland. There is no excitement. No climax. Some of the scenes were unrealistic. The movie is 100% predictable too. Genevieve has been in the industry for 20years. She can do better.",2
"Again, producer missed the point

The movie has no destination, no solid plot, just run offs, again it's just a display of audio quality, video quality and expensive cars, they totally missed the point again, I guess what we lack in nollywood is good writers who don't underate the intelligence of their audience.",2
Terribly disappointed,2
Disappointing,2
"A travesty

Chimamanda Ngozi Adichie's Half of a Yellow Sun is a great, heart breaking novel; an evocation of four beautifully drawn, vivid characters whose lives are forever changed by the brutalities of the Biafran struggle, the Nigerian civil war. The opening few chapters draw us into the background against which the book's central characters must stand; the eventually disastrous effects of British colonialism, the contemptuous racism of the British ex pats, the depth and beauty of Igbo-Ukwu art, the enmity between the different peoples of Nigeria, the corruption, and the struggle for African identity, for self-determination and independence. This film replaces a superbly written, perfectly paced introduction with a single scene, that reduces one of the book's most complex meetings into two shots and a couple of lines of dialog. In short this film is so rushed, so much of a squeezed accordion, with no idea of what themes to lift from the page, that it renders the events confused, meaningless and, for those of us who gave read the book, entirely, unavoidably comical. It must go down as one of the worst cinematic adaptations of a book ever. How one could take such fabulous source material and produce such a hare-brained précis confounds me. This is a disgrace and an awful disservice to CNA. May Americanah fare better; Half of a Yellow Sun does not deserve this fate. Shame on this ""film"".",2
"Meh
Thank God I read the book. This movie version does not do Chimamanda's story justice at all. They tried to do too much within just this one movie that clearly should have been broken down to capture the MULTIPLE stories within the main plot (I also agree with the miniseries idea). Most of the actors did not fit the roles- Kainene was NOT supposed to be as...open, as she was in the movie, for instance. There was a reason they were written a certain way in the novel, and sadly, whoever produced this movie did not understand this. I couldn't even focus on the movie long enough because the acting was just too cringe-worthy for the most part and the story line was way too superficial. Ugh, I'm so disappointed - READ THE BOOK!",2
"Question to all the filmmakers in nollyhood.

First of all, I saluted kemi because its not easy to make a movie. But Concerning this popular movie #KOB I can't say it better or worst than the rest of nollyhood movies...consequently, I have a question to all the filmmakers, directors, producers and ofcourse the actors in the industry...""what kind of stories and pictures are we sending out to a country that needs libration, a country that need delivarance, a sick country like Nigeria??""...please let's think about future and start telling our own untold stories, our culture and our history for the benefit of our next generation, thank you.. Bye bye!",2
"Another Nigerian Movie With Lot of Hype but Very Empty.

Nigerian movies are just plain hype with popular people in it. The story could have been way more exciting. The acting and dialogue were weak in many extents. This is a movie for goodness sakes not a stage play, why wear a main actor a fake wig? I won't recommend this to anyone. With the cameras used, equipment and cinematography, you guys have to come up with way better. Also, why spend 2.5 hours just to tell a story of sexual harassment in higher institutions?",2
Beautiful storyline BUT It was a waste of precious 2hrs,2
"Interesting story low level acting and casting

The story is an important one to tell however lacked some of the realities of the real life situation. It was therefore disconnected in some parts. Adding others languages Yoruba and French, was a bad move for the characters given that the pronunciations were very amateur especially the Yoruba for Temi, who could not even pronounce her characters name properly. The so called Igbo characters also had strong Yoruba characteristics which caused another disconnect and made the characters feel unreal. Film was too long for what it was worth.",2
"Important story, too long, poor acting.
The videography(?) was very high quality. However, all else failed. The plot, dialogue, acting were mediocre at best. Unnecessary / too long scenes. Had lots of potential, but fell flat. Felt like they weren't trying to make a great movie, just one that would distract its audience with great scenic shots and unnecessary french. This might be me being picky, but as a Nigerian I would prefer not to read subtitles for HALF the movie, especially for a non-nigerian language. Good effort, Kunle.",2
Do what you want,2
"Great story but poor acting

The movie storyline is ok, but the acting is very por, the story isn't clear in my opinion the best actor is the mother, the filming the acting and the music really spoil it, I don't recommend it it's really bad",2
"Wow how dissappointed

This seemed a great show acting good but Jesus the ending is a joke and to say true story give me a break . Awful stick with This is England",2
"Oldest skinheads in town

Absurd plot which pretends to be based on reality. Improbably old skinheads (the lead skin was 36!) Perhaps there was a good story here; this wasn'i it.",2
"A waste of time
",2
"The film is remarkable for its lack of self-pity, but it makes the experience of ""Farming"" a merciless one for the audience too.",2
Farming is a great story ultimately defeated by its own unrelenting boorishness.,2
"Real life vs. badly executed

No pun intended there. But it is a shame, that we get something that has a meaning and does depict colonialism as evil and the repurcussions that happen while invading territories ... but really loses a lot of its touch due to the production values and the bad acting, especially from the villains in this movie. You can't take them seriously, when they spout racists and mean things, when the acting skills are below standard.

It's so bad then, that it is funny, but not voluntarily. Which is obvious and painful at the same time. Also the movie is not for the faint hearted. There is a lot of (bad CGI) violence and the movie starts off with one of those crazy scenes. Not to mention the righteousness and morality it tries to hammer home. You have a headache yet? Don't worry it will come soon ...",2
"Good sort, badly did

So as someone who's loved half of his life in Nigeria, I was unimpressed due to the production of this both in terms of acting and script",2
"iT IS NOT BASED ON ANY FACTS

I am not sure that it is based on which facts exept the names.

Where is her brother. Karami.

The movie did not mention at all that she was a muslim.

Simple search even on Wikipedia will show more interesting things about her to consider in the movie.

Why such a good story could be a great movie, you just ruined it by this terrible way ??",2
"Absolute Trash. 1985 Bollywood called, they want their script back.

Take out the Nigeria/India culture part away (there nothing enlightening in the movie about either cultures to begin with) and it is absolute trash. The hero and heroine bump into each other while jogging in slow-mo at the beach, and fall in love. 1985 Bollywood called, they want their script back. Or, think of a movie that Karan Johar would produce, only make it hella cheesy and bad. The director (Indian, who apparently grew up in Nigeria all her life, also cameos in the movie) only seems to have overplayed all sorts of stereotypes, at least the Indian ones for sure. The Nigerian family isn't okay with an Indian groom, the Indian family isn't okay with a Nigerian wife. The director lady shows up and says ""People from other cultures are epic too"" and all the parents are okay with it? Like ""I'm depressed"" Friend: ""Don't be"". Me: ""Oh wow! My depression is gone! Thank you so much!"" It's like she decided to make a movie around that one line and didn't care how bad it was as long as the line made it in. The dialogue between the mothers was cringe-worthy. Failed opportunity for Women's Empowerment: The movie shows the Nigerian dad is upset that his daughter can't (?) look after his law firm and wants her to marry a Nigerian lawyer dude who'll take care of it. The daughter then solves newbie case, with some evidence (that a 15 yr-old would know to get) that her boyfriend requests from another dude because they're bros. So she's bad lawyer to begin with? You could have shown her do the job, but no! Had to get the dudes involved. And then, towards the end, you go on to say how epic of a lawyer she is based on this one case and how she should her dad's law firm? The other villain lady was a better fit to run the company IMO All that said and done, there's FINALLY a cultural exchange between the Indian mom and the Nigerian dad. Indian mom, supposedly progressive, asks for Dowry, ""Pay me because my son married your daughter"" she says. A woman, in 2021, asking for dowry - in a movie supposedly about cultural learning and feminism. WTH? The dad says ""No you're supposed to pay me because you're taking my daughter away"" The director, also a woman, couldn't find ANYTHING else to show from both the cultures? *smh* I can go on but that would be a waste of time. Was hoping to learn more about Nigeria and that people would learn about India. But noooo. Trash movie.",2
"It says this was shot in a month. It looks it!

Cheesier than Disney; badly made. It looks like it was made it a month for sure and was the best at being mediocre.

The only reason i wanted to watch this is I loved the premise of inter-racial romance and the dynamics of the relationship. And i was excited to see a Nollywood movie. I think this is an important story to be told but let down by bad writing and mediocre actors. It felt like i was watching a soap opera and found myself rolling my eyes multiple times

Having watched other romcom Netflix Originals and grown up on Bollywood movies, i wasnt really expecting much.

It felt so forced and artificial. You could ""see"" the actors acting. First sign of a mediocre performance.

The worse was the script, it felt it was written by a student writer. The dialogues were contrived and very artificial.

There was NO CHEMISTRY with any cast members, it seemed like the entire thing was forced and not organic at all.

Wish they had a better writer and performers. Such an awkward movie! I wasn't expecting an Oscar level movie or performance, just your generic Hallmark level expectations, but this was sooo bad.

I'm however interested to see more Nollywood movies to compare to this. I hope they're far superior.",2
"Good message, poorly executed
The message of this movie was very good, however it was poorly poorly executed. The acting was very bad, I mean really bad. The plot was beyond cliché, and the movie was an overall mess. I'd skip this movie unless you have nothing else to watch.",2
"Do not waste your time on this

This has got to be the worst movie I have ever seen, the whole plot premise is not so bad in itself, but the script is sooo lazy the movie could've had lasted just 30 minutes, maybe that way it wouldn't be so damn boring. Not only does the plot fail to grip the viewer's attention, but the acting is the poorest, most unconvincing ever, so while the lead actress cried, I couldn't help but laught at how terrible her acting was. So my review boils down to this: if you want to watch a decent movie, just skip this one up.",2
"The film started out pretty strong, but then it went downhill fast. Its characters (especially Sades) are messy and have many poorly executed emotions and phases of grief or happiness. The movie can be uplifting but it gets ruined by constant unneeded crying. Seriously there is so much crying that it becomes a problem. It is very and i mean a VERY slow film and only starts to begin to get somewhat interesting near the end. So that is why this film (in my opinion) is terribly forgettable.",2
"Wasn't supposed to end there.. unprofessional screenwriter

Playwriting is not for everyone, this movie wasn't supposed to end there are you trynna say.. perpetrators are gonna go away with crime? Poor storyline they were supposed to be apprehended.. 👎",2
"THE BEST POLITICAL MOVIE IN NIGERIA

This Movie Would Have Done Better If Funded More , It is very Educative And Very Inspiring Anyone saying Bad Thing About This Series Are Purely Enemies Of Progress Am expecting Season 2",2
Entertaining despite being flawed,2
a movie with high rated actors but it was poorly executed,2
Everything about this movie speaks low budget,2
I regret watching this movie,2
"Made for tv melodrama

I watched this movie without knowing anything about it beforehand. This movie is about the Ebola outbreak of 2014. I appreciate it is a serious subject and should be treated seriously, however, it was so overdone! The script, the acting, the music, it was all ""made for TV"". It was so cheesy at certain parts that it was hard to continue watching. I wouldn't recommend this to anyone.",2
bad,2
expected much more,2
"Extremely Boring!

The moment the first scene hit my screen, I knew the movie was gonna be boring. Being an African, I decided to give it a chance and I was mad disappointed. Scenes dragged, dark, predictable, CGI was horrendous, etc. There was so much wrong with this movie. Performances were so subpar and there were so many contradictions and consistencies. Wardrobe was off in a lot off scenes. I would give this a one or zero but Idia's prettiness gave it an extra. 😂",2
A bad senseless movie,2
Unoriginal and boring movie,2
Scenes were muddled up,2
"Good watch

The lead female role a huge disappointment. She is selfish, arrogant, immoral and just as money hungry as her father in the show. She is disrespectful to her husband, belittles and undermines him every chance she gets. She is a huge hypocrite as well.",2
"Interesting premise, terrible script
carguychris23 June 2020
Netflix has recently been airing interesting foreign films, but they're really scraping the bottom of the barrel with this one. The obviously low-rent execution of this film doesn't bother me very much, but the horrid script and wildly uneven acting does.

This film is ostensibly about an airplane crash, but aside from the first 5 minutes and the last 20, it's actually a badly scripted and unevenly acted chamber drama with serious pacing problems. The plot aimlessly meanders between the personal lives of various characters, most of which are so uninteresting that the film feels far longer than its brief 75 minutes (a problem compounded by too many pointless establishing shots of aircraft taxiing - we already know we're at an airport!). The main actors do a good job, but the script often has them prattling aimlessly; minor characters are mere sketches, and many of the performances are cringe-worthy. Speaking of cringing, the attempts at comic relief are so unfunny that I'm unsure whether to even describe them as such, and it's obvious that the filmmakers knew almost nothing about how airliners actually operate.

This film would have been much better had it focused on the crash and on the embezzlement subplot. Attention low-budget filmmakers: in most cases, it's best to choose one interesting idea and focus on that.",2
Dig to stole your time!,2
A waste of time,2
"Was there no budget for subtitles?

There is no list of actors. Each episode lacks a synopsis. The episodes don't have subtitles. A lot of the dialogue is indecipherable; without subtitles it's impossible to know what is being said most of the time even though the characters are speaking English. I stopped watching 17 minutes into the show.

I love the introduction!",2
Poor acting,2
"""The real Housewives of Lagos high society"" is wack",2
We can do better than this trashy movie,2
This is the worst film I have ever seen. The first half is a telling combination of terrible acting and an awful plot. I only rated it so highly because the second half is slightly better.,2
"August the First on Reel 13

AUGUST THE FIRST, the Reel 13 Indie from September 13th, is problematic right from the get go. It's hard to dig your teeth into early on, particularly because the characters come at you fast and furious, introduced without any real establishing. I appreciate the attempt at efficiency, but without getting some sense of the characters we are dealing with (and their relationship to one another), nothing has any resonance and it's hard to follow what's going on. It's almost as if the first thirty minutes of the film are awash.

Eventually, the intelligent, careful viewer will start to understand the characters, their desires and motivations. By then, we are knee deep in an immature melodrama, with an accentuation on the ""melo"". The story revolves around the graduation party for Tunde, fresh off his college degree. For his party, Tunde surprises his family by inviting his estranged father from Africa to the party. The family is not pleased and then, yelling and tears naturally ensue. The way that director Lanre Olabisi piles on the pain causes the film to depart from the world of the real (the mother is a drunk and recovering from breast cancer, the sister is pregnant, the aunt is a slut who had an affair with the father  get my drift?). Olabisi tries to combat that by employing an ultra-shaky hand-held technique to add a vitality to the film, but it doesn't remotely mesh with the soap opera leanings of the narrative. If Olabisi wanted to tell this story, I think he needed to embrace the melodrama a la Douglas Sirk and stylize it accordingly.

Then again, CRY FUNNY HAPPY, a film that I loved, has some melodramatic elements and also uses a hand-held camera. The big difference though is the acting. In CRY FUNNY HAPPY, the actors are raw and honest. Here, they seem untrained and are mostly over-the-top and not very believable (Sean Philips and Kerisse Hutchison are the strongest members of the ensemble as the older brother and sister of Tunde). The most intriguing thing about the film is the father character, who shows up at the party unexpectedly. In spite of the actor lumbering around in the character's shoes (D. Rubin Green does not seem very comfortable in the role, particularly in terms of movement  though his accent is believable), he manages to come across as somewhat likable, even though the majority of the family distrusts him greatly. He is a very complex potential villain. His actions are interesting and seem to belie his statements and yet, his manner suggests that his intentions are pure and true. And so there is suspense in trying to determine why the father is really in town and if he really wants to reconnect. There are layers here and this is what the film needed to exploit even further.

However, as the film starts to build this interesting mystery amidst the schmaltz, it then turns around and betrays its audience by ending abruptly. I've always said that I don't need closure, but I do require an ending, if you are able to see the difference. There is not enough of a climax in AUGUST THE FIRST to earn the right to end when it did, which is just another of many amateur attributes that add up to make the film a great disappointment.",2
"The movie left so much to be desired. Oloture jumping out the room window was only the first of several really crappy scenes in the movie. The film's star, Sharon Ooja, who is a wonderful actress was simply here the subject of an artificial and deeply flawed plot. Also, lets not forget the unforgivable music. This movie had an ambition to reflect human trafficking, but fails miserably",2
"Awkward to watch

I didn't hate the film but there wasn't much plot and clearly made on a very low budget.

There are moments where they are filming in public, where passersby are staring right in to the camera which is a big blooper considering it's meant to be a film. The audio frequently dips meaning you can't hear what they are saying. The acting from Okon (Ime Bishop Umoh) is awkward and annoying to watch, with his unnecessary facial expressions. There points where English characters are speaking, but their lines are clearly written by a Nigerian because native Brits would not speak like that. And the majority of the British characters look like they were recruited from a Job centre as they have zero acting skills.

Not sure why I watched the whole thing to be honest.",2
Opportunity lost,2
"Very poor story telling... and a massive rewrite of history for the sake of the movies plot. A really dreadful watch and a terrible place to get your history. Everyone should remember that movies are story telling... and, even when based on historic events and individuals, the movies are most often wrong on the facts.",2
Terribly made and stupidly written. This reeks of the Hallmark Channel.,2
"Good sort, badly did

So as someone who's loved half of his life in Nigeria, I was unimpressed due to the production of this both in terms of acting and script.",2
"Real life vs. badly executed

No pun intended there. But it is a shame, that we get something that has a meaning and does depict colonialism as evil and the repurcussions that happen while invading territories ... but really loses a lot of its touch due to the production values and the bad acting, especially from the villains in this movie. You can't take them seriously, when they spout racists and mean things, when the acting skills are below standard.

It's so bad then, that it is funny, but not voluntarily. Which is obvious and painful at the same time. Also the movie is not for the faint hearted. There is a lot of (bad CGI) violence and the movie starts off with one of those crazy scenes. Not to mention the righteousness and morality it tries to hammer home. You have a headache yet? Don't worry it will come soon ...",2
"Horrible, waste of resources",2
"Not a good movie at all.

The only funny part was the proverbs they show every so often. I won't watch this movie again. Ever!",2
what is this????,2
Disappointing,2
"""New Money"" is a no no",2
"I thought t was a predictable story written by an eight-year old. I had to quit watching it about half way through. Maybe it got better, but I highly doubt it.",2
"This movie was a movie that had great potential. A directorial debut of the Famous Nigerian Genevieve, packed with star studded Nigerian Names from Phyno, to Pete edochie. It also Had really fantastic production value, however that's as far as positives go. One thing that a good movie needs above all else is ""story"". the story usually sets actors up for fantastic pe formances, can usually be the thing to sell a movie. However, this failed to be anything other than boring. It had no logical flow. It was trying to do a lot of things, like develop a love interest for Genevieve, set her up as a hardworking female, however it offers nothing in terms of bringing that to life. There should have been more connections to the characters, like what does Lionheart mean ?? Who exactly are these characters. It feels very empty and quickly put together. Building on from that, another thing that makes movie so terrible is, because the story is terrible the actors cannot live up to their potential. They're stuck in a bad story, so there's nothing to immerse themselves in. The film also has terrible writing which also contributes to the actor's terrible performances. I don't know who wrote this but it was really off the mark for writing. Some of the dialogue was so superficial and empty. They threw in some inspirational words here and there to try and do soemthing but it had no effect because they hadn't prepared for it properly. There was also a serious lack of research witht the writing. When you borrow 950 million naira,which is basically 2.6 million dollars, no company takes that kind of loan and pays back fully in a year. People pay interests on that loan, so that really messed up the story and writing. Also was the evil coworker a board member ?? What was he doing at those meetings ?? And how can a company which has a board be unaware of a 2.6 million dollar loan. It's jsust not possible, that's not how business works. It feels as if real life was bent to fit the terrible narrative this movie was trying to tell. The only positive of this movie is production value. The cinematography is average holly wood standard, although it falters a lot. It's evident of a quite low budget Hollywood movie. It's netflix quality, let me put it that way in terms of original content. However, it still needs to improve. I think Genevieve needs to go on a masters in directing from a good film school to understand how to properly direct, it is really important she does that. In conclusion, this was a movie that could have been groundbreaking in terms of Nigeria's first original Netflix content. However m perhaps shockingly, seeing as it was bought by Netflix, it was absolutely poor. And writing, bad story, bad acting. I can only congratulate the production value of this.",2
"This movie deserves the award for the 1st disaster recorded in 2022. To those not familiar with Nollywood, this movie is not acceptable while those familiar with Nollywood understands this was terrible.",2
What a waste of time! Star studded casts with no story to tell. Zero sense of direction nor any reasonable theme....too much distraction from the family theme of part one....🙄,2
A story too fragile to convey the supposed disturbance that ruled this doomed romance.,2
"
This movie is long and dull. Even the background music is tepid. And there's nothing that can do to save the movie.",2
This movie was an eyesore,2
"A nauseating soundtrack that is the singing of the title ""Ajibade"" on over & over again - sung by the lead actor, maybe for cost cutting or worse; a consequence of believing friendly lies affirming a non existent musical prowess.",2
"Then worst of all is the story; as simplistic as a Yoruba film story could ever be it lacks, intrigue, suspense or any telltale signs of intellectual manipulation.
",2
Absolutely Not Recommended.,2
"Production is fine, above average. Colour is sharp. And acting isn't horrific. The problem is the complete lack of intellectual strength in the story & the story-telling. A quick example will suffice:",2
"Not Recommended. Such a dumb movie. Hated every single solitary second of it. Horrendous rubbish!

Doesn't help that the only meaningful part comes at the very end & the soundtrack includes a nod to Great Fela Anikulapo Kuti 🇳🇬

That aside.

Ultimately, 2021's 'The Harder They Fall' is a plainly stupid movie. And it doesn't finish - Part 2 is coming. Íráánu 🤮",2
Mofe ni Mofe' is a typical Yoruba movie made for African Magic Yoruba or even more appropriately; YouTube. It has no business in cinema.,2
"Small Chops' is an awesomely stupid movie that is not worth paying premium for. In all fairness this movie should have been gently released on Iroko TV; definitely not in cinema. Following the now well established formula often used by counterfeit movie makers where they employ a flood of ""beloved"" comedians to mask the retardation of their movie and their own complete lack of talent, 'Small Chops' proves for all intents and purposes, to be two movies in one:",2
Special Jollof' is yet another cold turkey from Nollywood in Diaspora. And as usual; it is highlighted by a yéyé story and a plethora of half hearted acting performances. There's nothing to see here. It's a total waste of money and time.,2
" As far as comedy goes, 'Your Excellency' is a corpse. A freshly deceased corpse, it has only a few spasms of laughs to offer - A quip here and a giggle there, for most part however, it rendered the hall; Graveyard Silent. Its, was a story of gigantic failures; misfire after misfire, scene after scene closed to the tune of hissy echoes rather than ""LOLs"".",2
"The Enemy I know' is an extremely lazy concoction. Everything about it is below par - even the ""police woman"" shows the back of her I.D card whilst effecting an arrest - whereas; this is 2019 and ""Aki & Paw Paw"" mistakes such as this are untenable in cinema. Ridiculous!",2
"Social Media 101' is lazily unoriginal. This is the handiwork of an ideas pirate; someone who plagiarizes the creative ideas of others, makes them his own and seeks to profit from same. Plagiarism! That is the stuff 'Social Media 101' is made of. The producers put not an iota of creativity into making this a movie.",2
"They just sewed together different jokes, memes and videos of little known comics that have gone viral on Nigerian social media, called it their own movie and brought it to cinema. If you are Big on social media, you will have seen many of them, many times before. And you are not likely to find them to be very funny here as the producers even fail to excel at plagiarism, leaving 'Social Media 101' plagued by bottom of the barrel acting, very boring dialogue and particularly horrible scene lighting. This is all round ridiculous!",2
"Utterly not recommended. 'My London Slave' is complete hogwash. A total waste of money. There's no way you go in to see this and come out happy. Because, everything about this sham of a movie is calculated to irritate you. And it will. Please, don't pay for misery.",2
"Father of Today' is just too basic to be in cinema. It's not horrible as to be completely unwatchable. It's just too basic. Literally, everything in 'Father of Today' is skin and bones, bear minimum, ground floor basic. The acting is leisurely. Production feels home made. And the story-telling is very amateurish.",2
"Not recommended for anybody. Not even children. Very irritating movie, 'Another Father's Day' will leave you with a migraine. With terrible acting and an outstandingly imbecilic story-line, this ridiculous low grade Disney wannabe excuse of a comedy will make anyone and everyone lose interest in Nollywood forever. Such a sham. And a terrible waste, this is what comes of writing stories and producing movies with the sole intention of advertising an amusement park, but people shouldn't have to pay to watch long-form adverts. We strongly suggest you stay far away from this filth if you value your time and energy.",2
"Made in Heaven' is a stupid movie. It is so stupid, it will irritate you to the point you will start laughing out of sheer frustration. You will grow so weary seeing it, you will suddenly find yourself feeling as though you just might be enjoying the foolishness of this foolish movie. Very ridiculous movie. Complete rubbish!",2
"Such a shame really. We saw this earlier today, with a small audience of ladies and guys; couples and individuals alike- The irritation in the hall was uniform. So it was that; as we trooped out of the hall, unusually, standing at the door was a lady, we suspect she works for the cinema. She asked everyone together: ""What did you think about the movie?"" And as if rehearsed, the phrases ""Rubbish movie"" and ""Very stupid"" immediately rent the air, echoing from one person to the next. We were not surprised. Because you see, the biggest shame here is that we predicted this would happen.",2
"Possibly one of the worst films I've ever seen.

Warning: Spoilers
I've been watching movies since probably 2002 (I'm 16 now BTW), and couldn't clarify which movie was the worst I ever had to sit through. Then 15 yrs. later, I see this on Netflix in the ""Recently Added"" section, and I wanted to watch it. Yes, it sucks!!! It's possibly one of the worst movies I ever watched in my entire life. Let's start with the music. It's like ""nails scratching on a chalkboard"". Also, the husband's acting sucks bird feces!! Also, the pregnant wife's friend whatever, I wanted to slap her so hard in the face. And OMG, the wife's screams. Annoying than Tara Reid in the horror movies she's in (Urban Legend) for example. It just screams ""porn"" throughout the whole movie. Screw Netflix for adding these Nigerian, Chinese, or Indian flicks.",2
"I gave it 2 because I'm kind!

This is.... Aaaahahahaha :) THIS is a joke. This is how netflix trolls us. Brilliant joke on us!",2
"mean-spirited, unfunny, kinda classist. you’d think someone with a background in music video directing would turn in something that has more than zero visual ideas but ¯\_(ツ)_/¯",2
"Such a dissappointing rendition of a beautiful book.

I wasn't expecting it to be amazing in the first place but I wasn't expecting it to be this bad.

I feel like Thandie and Chiwetel tried so hard to act like Nigerians that they just flopped.

Just didn't work at all. No wonder I hadn't even heard of it til Emirates reccommended it.",2
"bad acting, stiff dialogue, and an overuse of a melodramatic soundtrack all come together to make one of the worst and weirdly religious virus movies i’ve ever seen",2
